name	type	component	tracked_point	units	sampling_frequency
ankle_ACC_x	ACC	x	ankle	g	64
ankle_ACC_y	ACC	y	ankle	g	64
ankle_ACC_z	ACC	z	ankle	g	64
ankle_ANGVEL_x	ANGVEL	x	ankle	dps	64
ankle_ANGVEL_y	ANGVEL	y	ankle	dps	64
ankle_ANGVEL_z	ANGVEL	z	ankle	dps	64
wrist_ACC_x	ACC	x	wrist	g	64
wrist_ACC_y	ACC	y	wrist	g	64
wrist_ACC_z	ACC	z	wrist	g	64
wrist_ANGVEL_x	ANGVEL	x	wrist	dps	64
wrist_ANGVEL_y	ANGVEL	y	wrist	dps	64
wrist_ANGVEL_z	ANGVEL	z	wrist	dps	64
lowBack_ACC_x	ACC	x	lowBack	g	64
lowBack_ACC_y	ACC	y	lowBack	g	64
lowBack_ACC_z	ACC	z	lowBack	g	64
lowBack_ANGVEL_x	ANGVEL	x	lowBack	dps	64
lowBack_ANGVEL_y	ANGVEL	y	lowBack	dps	64
lowBack_ANGVEL_z	ANGVEL	z	lowBack	dps	64
